niteid wstart wend conv participant nxt_agent mean.normI0 sd.normI0 max.normI0 min.normI0 median.normI0 q1.normI0 q2.5.normI0 q5.normI0 q25.normI0 q75.normI0 q95.normI0 q97.5.normI0 q99.normI0 slope.normI0 intercept.normI0 mean.normI0.slope sd.normI0.slope max.normI0.slope min.normI0.slope median.normI0.slope q1.normI0.slope q2.5.normI0.slope q5.normI0.slope q25.normI0.slope q75.normI0.slope q95.normI0.slope q97.5.normI0.slope q99.normI0.slope slope.normI0.slope intercept.normI0.slope
AmySmith_2006.AS.words40 25.8 26.74 AmySmith_2006 AS AS -2.67035606585 8.18838110639439 9.33535195778168 -18.2788036531387 -2.06335680260341 -17.9052287701153 -17.458139864485 -16.1950130788115 -10.938997234435 4.91747910742221 8.19880796527607 8.60526989862342 8.83439631332547 -11.0888521181282 288.752486649347 0.872137161486095 8.13106713124336 12.7568835296758 -15.0024260677749 1.41077895127386 -14.6344499813748 -14.1718638091228 -12.4637773371495 -7.23997935688354 8.47877643498495 11.5670229684329 12.0077932103767 12.2443846872431 -10.4754037226725 276.173124038194
AmySmith_2006.AS.words41 26.74 26.97 AmySmith_2006 AS AS -2.9323199667108 6.95419911388021 6.90491691926408 -12.8789313156775 -1.82322138215179 -12.8462811115542 -12.7973058053692 -12.4487281789882 -9.57637883202324 3.5320287909831 6.47894348463491 6.58679378465141 6.77766766541902 -19.915323234424 531.900697931503 0.962690085056177 6.94631634346804 10.7930148764344 -8.92171241254038 2.03377214933342 -8.89044462733638 -8.84354294953037 -8.49842137044774 -5.74357763162642 7.44086303194344 10.3635853945069 10.47834778912 10.6671480415086 -19.3018748389683 519.321335320352
AmySmith_2006.AS.words42 26.97 27.06 AmySmith_2006 AS AS -6.16967014742768 5.12169749064332 -0.771961282200493 -14.4603605955559 -4.88093177532235 -14.4356989700853 -14.3987065318793 -14.3370524682028 -10.8659431044022 -1.8850126502034 -0.859573391023529 -0.815767336612011 -0.789483703965101 134.644634993592 -3643.71775071445 -2.17616274765796 5.13331304992482 3.22673018851674 -10.485861455927 -0.866688091762573 -10.4606814233617 -10.4229113745136 -10.3599612931002 -6.88798791747506 2.11022277321549 3.14171011516746 3.1842201518421 3.20972617384688 135.258083389047 -3656.29711332559
AmySmith_2006.AS.words43 27.06 27.55 AmySmith_2006 AS AS -6.60927716817077 7.35269214061853 5.48278904109594 -19.9909405583888 -6.64397523854458 -19.6288917410727 -19.4224284656728 -18.9250601290903 -11.4050762396303 -0.190569130165549 3.77810681736613 4.73691412916621 5.40827756430641 23.4118915690738 -645.895707333108 -2.43778333253644 7.39265589732866 9.6646510186253 -15.8816555741246 -2.40774555966165 -15.516634556132 -15.3694770523716 -14.8800576245753 -7.29060718441861 3.99302087101298 7.95478472394798 8.91341923338314 9.58716734115919 24.0253399645295 -658.475069944259
AmySmith_2006.AS.words44 27.55 27.65 AmySmith_2006 AS AS -4.32692788325798 3.53287058076807 -0.296618614730207 -9.23216165447855 -2.85520489023176 -9.21915417460855 -9.19964295480354 -9.16712425512853 -8.38383235965126 -1.21257730070516 -0.607387319682922 -0.452002967206564 -0.35877235572075 99.712624063414 -2756.57792444374 0.0260084355393011 3.54854603197566 4.06150177501459 -4.90514569041883 1.51846771235558 -4.89037562642668 -4.86822053043844 -4.83129537045804 -4.04558424187193 3.15331919546091 3.77129655148701 3.9163991632508 4.00346073030907 100.32607245887 -2769.15728705489
AmySmith_2006.AS.words45 27.65 27.86 AmySmith_2006 AS AS -4.12015721793257 5.24221719891944 0.968839713677504 -15.6194309947338 -1.54071014224559 -15.3301367812933 -14.8961954611326 -14.4685780170095 -8.33377704837991 -0.385670336434622 0.619330349237741 0.911381061894718 0.945856252964389 -63.9506089817609 1770.94158417116 0.327820401569118 5.2144470051866 5.40990523858251 -11.129980807652 2.87616305157103 -10.8394424171841 -10.4036348314823 -9.98120145830667 -3.85469500319314 4.04157099927702 5.05832224576374 5.35555702936823 5.3881659548968 -63.3371605863052 1758.36222156001
AmySmith_2006.AS.words46 27.86 27.91 AmySmith_2006 AS AS -4.04114610003433 3.33641012188394 -1.58509775380519 -11.5880693510358 -2.55692631531436 -11.2412851551058 -10.7211088612107 -9.85414837138552 -4.12674687774509 -1.84904331381591 -1.62464345059142 -1.6048706021983 -1.59300689316243 158.199608943742 -4415.64891702939 0.486320607329226 3.34334053218899 2.94582500085671 -7.07442683286565 1.96708434475086 -6.72736615315172 -6.20677513358082 -5.33912343429599 0.393807735021777 2.67842339354764 2.90766172298981 2.92674336192326 2.93819234528333 158.813057339198 -4428.22827964054
AmySmith_2006.AS.words47 27.91 28.3 AmySmith_2006 AS AS -8.252726997284 5.3636366393477 0.756846981255855 -18.694407122204 -7.61635980446357 -18.6693970812066 -17.0896247580403 -16.2372633881097 -13.0228196833117 -4.18953670459203 0.313430076439044 0.585100956335815 0.729780768100877 3.91207702314655 -118.205784208546 -3.59047444528511 5.36979730409085 5.40527534406138 -13.9422973404482 -2.99132666140249 -13.9149371872879 -12.4526013513193 -11.6544999239726 -8.42277598268295 0.486540036600228 4.95701997302689 5.22765403873416 5.37585901874353 4.52552541860226 -130.785146819699
AmySmith_2006.AS.words48 28.3 28.8 AmySmith_2006 AS AS -3.40985722638613 5.8020014839247 6.97527056512818 -16.9767325673211 -1.97454323920806 -15.9271395417497 -14.3194430567906 -12.5920366422316 -8.66039087244027 0.649773510213144 5.95818540283403 6.68392102430255 6.86925508387558 -10.9818533734091 310.134430503739 1.52542306218178 5.77803934210476 11.9554794685745 -12.0725567044383 2.90200530075011 -11.0199223572443 -9.40766388985144 -7.68440473205043 -3.73893477306573 5.52613402682502 10.9383943062804 11.6599826709909 11.8525053089445 -10.3684049779534 297.555067892587
AmySmith_2006.AS.words49 28.8 29.09 AmySmith_2006 AS AS -2.17472108565034 2.84312543707289 1.91954119165747 -9.18133918812014 -1.76203594428863 -8.85176946363664 -8.46126740124184 -7.74251122741402 -3.67645171103988 -0.0552728128700188 1.51344163360793 1.75014135963278 1.8697027627735 7.21334900672069 -210.968663961452 3.0024825138015 2.85448425041603 7.08292060191595 -4.05943234544177 3.41994704304921 -3.73159064460743 -3.34108858221264 -2.61542031378814 1.48865572286776 5.13921102307354 6.67854906751557 6.91784082901418 7.03481019668115 7.82679740217637 -223.548026572603
AmySmith_2006.AS.words50 29.09 29.16 AmySmith_2006 AS AS -4.65466282879142 1.19037043214919 -3.48458406671983 -7.43668050817778 -4.27802506824178 -7.24322125953521 -6.95303238657134 -6.4693842649649 -5.55235084740787 -3.6953743559064 -3.49866721340995 -3.49162564006489 -3.48740069605786 -9.12274308397507 261.052296405639 0.633134284207368 1.18818135353484 1.79630095168227 -2.12814711138894 0.999403902861982 -1.93510258842216 -1.645535803972 -1.16292449655507 -0.285290018199127 1.59587880439074 1.78429143337116 1.79029619252672 1.79389904802005 -8.50929468851943 248.472933794489
AmySmith_2006.AS.words51 29.16 29.46 AmySmith_2006 AS AS -5.41686435043405 4.52031463027059 -0.0976606980304595 -14.4126421688559 -3.26987438359045 -14.365766249423 -14.1395966192947 -13.420442125097 -9.04252627454397 -1.77922234680973 -0.911506780356764 -0.367665034257541 -0.188578912546559 31.958899821943 -941.826132893851 -0.0219297711866552 4.54860123683398 5.34565854339372 -9.08337248827698 2.10086786456855 -9.03483766614086 -8.8082533103368 -8.09739332965516 -3.56810260743471 3.61255458505381 4.51359252983004 5.07772783554564 5.25639923158082 32.5723482173987 -954.405495505002
